Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Townhouse,$275/month,2011,Mayfair,,"$465,000","$3,385", 2, Metea Valley High School,2759 Blakely Ln 60540,3.0,2.5,"2,174"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 4, Full, Unfinished,," $9,546.31"
Single Family Residential,,1966,Naperville,,"$629,000","$3,659", 2.5,,28W045 Hillview Dr 60564,4.0,3,"3,000", Natural Gas, Central Air, 3,, 0, 4, Full, Finished,," $6,335.14"
Condo,$221/month,2002,Windridge,,"$269,900","$1,917", 1, Neuqua Valley High School,2219 Waterleaf Ct 60564,2.0,2,"1,304"," Natural Gas, Forced Air", Central Air, 2,, 4, 0,, None,," $4,223.28"
Single Family Residential,,1988,White Eagle,,"$885,000","$5,926", 3, Waubonsie Valley High School,1490 White Eagle Dr 60564,5.0,4.5,"4,438", Natural Gas, Central Air, 4, 1, 9, 5, Full, Finished," 2,916"," $18,248.26"
Condo,$289/month,1990,Brookdale Manor,,"$269,000","$1,946", 1, Metea Valley High School,887 Quin Ct 60563,3.0,2,"1,422", Natural Gas, Central Air, 2,, 4, 2,, None,," $3,811.54"
Single Family Residential,,1969,Country View Estates,,"$400,000","$2,291", 2.5, Neuqua Valley High School,28W205 Plainview Dr 60564,3.0,2.5,"1,944"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 6, Partial, Partially Finished,," $3,592.52"
Single Family Residential,,1985,Naperville,,"$539,000","$3,381", 2, Naperville Central High School,727 Muirhead Ct 60565,4.0,2.5,"2,200", Natural Gas, Central Air, 2, 1, 1, 6, Full, Partially Finished,," $8,368.20"
Single Family Residential,,1985,Cedar Glen,,"$449,900","$2,858", 2, Neuqua Valley High School,2253 Briarhill Dr 60565,4.0,2.5,"2,248", Natural Gas, Central Air, 2, 1, 8, 1, Full, Finished,," $7,416.66"
Townhouse,$168/month,1997,Kingspointe,,"$269,900","$1,883", 1, Metea Valley High School,968 Sheridan Cir 60563,2.0,2.5,"1,400", Electric, Central Air, 2, 1, 3, 2,, None,," $4,452.88"
Single Family Residential,,1994,Brookwood Trace,,"$699,000","$4,509", 3.5, Neuqua Valley High School,2307 Rock Ct 60565,5.0,3.5,"3,019"," Natural Gas, Forced Air", Central Air, 3, 1, 6, 5, Full, Finished,," $12,355"
Single Family Residential,,1993,Brookwood Trace,,"$629,000","$4,082", 2, Neuqua Valley High School,608 Connecticut Ave 60565,4.0,3.5,"2,821"," Natural Gas, Forced Air", Central Air, 3, 1, 2, 6, Full," Finished,Storage Space"," 1,312"," $11,410"
Single Family Residential,,1939,Naperville,,"$865,000","$5,262", 2.5, Naperville North High School,730 E Franklin Ave 60540,4.0,3.5,"2,760"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 11, Full," Finished,Exterior Access"," 1,000"," $11,469.18"
Single Family Residential,$17/month,1998,High Meadow,,"$599,900","$3,883", 3, Neuqua Valley High School,5055 Prairie Sage Ln 60564,5.0,4,"3,012", Natural Gas, Central Air, 4,, 6, 0, Partial," Finished,Crawl",," $10,550.24"
Single Family Residential,,1978,Walnut Woods,,"$789,900","$4,969", 2.5, Naperville Central High School,2405 Lisson Rd 60565,4.0,3,"3,418"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 3,, 5, 4," Full, Walkout", Finished," 1,421"," $12,439.32"
